,arx4d1e1187b9a9c4d,arbdn871187b98cc11,easy,barsStart_var,ar6k1c41187fb444b6,indie,classic,segmentsPitches_mean_2,arl53rs1187b9b19ad,ar2joyq1187fb3cd29,arh3s5s1187fb4f76b,jazz,folk,electronic,electronica,aruksnl1187fb4c5ed,sectionsConfidence_mean,arnpi7b1187fb3dcb7,black,80s,american,guitar,technical,arzot5y1187b9b23ed,version,arlnyy01187b99fbad,arcnjnv1187b9b90c4,germany,ambient,groove,alternative,rock,island,arer3qp1187b9a8dc4,segmentsPitches_var_10,angeles,piano,artistFamiliarity,sad,arx56sc1187b9ba075,arh6w4x1187b99274f,reggae,arr6cvd1187fb3f2bf,artistHotness,artistTermsFreq_mean,ardw74m1187b98da34,ara3vyt1187b997694,thrash,heavy,singer,aruddc91187b9a00e5,artistTermsFreq_var,artist,pop,punk,world,stoner,post,electro,artistTermsWeight_mean,progressive,segmentsTimbre_mean_12,segmentsLoudnessMaxStart_mean,arc43071187b990240,electropop,contemporary,emo,artistTermsWeight_var,ska,brazilian,arabfu01187fb46712,arpr9w71187fb3723a,artistPlayMeID,ar5ex491187b99b3af,year,metal,south,experimental,death,arbacal11f4c8443c2,Hit_Flop_Class
0,0,0,0,4000.659685,0,1,0,15.66293615,0,0,0,0,0,0,0,0,0.4771,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,581.9621815,0,0,0.581793766,0,0,0,0,0,0.401997543,0.563869117,0,0,0,0,1,0,0.024063495,0,0,1,0,0,0,0,0.681587766,0,0.324174047,-24.22585891,0,0,0,0,0.014568497,0,0,0,1,4479,0,0,0,0,0,0,0,0.60211999
1,0,0,0,3471.189853,0,1,1,27.84558395,0,0,0,0,0,1,0,0,0.613333333,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,171.1393592,0,0,0.651045661,0,0,0,0,0,0.401723686,0.748447658,0,0,0,0,1,0,0.012850691,0,4,5,0,0,0,0,0.832219545,0,0.278858841,-12.15608915,0,0,0,1,0.007764837,2,0,0,0,8355,0,2007,3,0,1,1,0,0.604500739
2,0,0,0,5735.476899,0,0,0,6.281907895,0,0,0,0,0,1,0,0,0.415166667,0,0,1,0,1,0,0,0,0,0,1,0,0,1,7,0,0,235.7740923,0,0,0.426667857,0,0,0,0,0,0.332275747,0.630218086,0,0,0,0,0,0,0.054395285,0,0,0,2,0,0,0,0.757063563,2,0.502596491,-21.77864583,0,0,0,0,0.02460877,0,0,0,0,-1,0,1984,0,0,0,0,0,0.265861049
3,0,0,0,3765.505125,0,2,1,41.84346638,0,0,0,1,0,0,0,0,0.6284,0,0,0,1,1,0,0,0,0,0,0,1,1,3,8,0,0,196.5496847,0,1,0.360031166,0,0,0,0,0,0.296268954,0.285098348,0,0,0,0,0,0,0.064095555,0,2,1,1,0,0,0,0.481961552,0,0.241281831,-16.88755079,0,0,0,0,0.039292457,0,0,0,0,-1,0,0,0,1,0,0,0,0
4,0,0,0,4124.378108,0,0,0,-5.380963955,0,0,0,0,0,0,0,0,0.611083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.5998153,0,0,0.577508974,0,0,0,0,0,0.37948217,0.598687403,0,0,0,0,0,0,0.069557576,0,1,0,0,0,0,0,0.669326652,0,0.427477858,-19.02798867,0,0,0,0,0.046670964,0,0,0,0,14303,0,0,0,0,0,0,0,0
5,0,0,1,2992.527396,0,0,0,38.46713889,0,0,0,7,1,1,0,0,0.540142857,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,437.2109985,0,0,0.085512047,0,0,0,0,0,0.251936525,0.700450653,0,0,0,0,0,0,0.053137607,0,2,0,1,0,0,0,0.73409469,0,0.283193056,-19.38676667,0,0,0,0,0.025628015,0,0,0,0,-1,0,0,0,0,0,0,0,0
6,0,0,1,4191.900484,0,0,0,-4.825313953,0,0,0,2,0,1,1,0,0.6095,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,341.116545,0,1,0.419943148,0,0,0,0,0,0.330806357,0.629326347,0,0,0,0,0,0,0.036636798,0,1,0,1,0,0,0,0.753651295,0,0.206131078,-29.33629281,0,0,2,0,0.016449648,0,0,0,0,18135,0,0,0,0,0,0,0,0.334706549
7,0,0,0,6723.870223,0,0,1,43.27674279,0,0,0,3,0,1,0,0,0.655071429,0,0,1,1,1,0,0,0,0,0,1,0,0,2,11,0,0,210.1387009,0,0,0.707199764,0,0,0,0,0,0.51346329,0.707925649,0,0,0,1,1,0,0.011059023,0,3,0,0,0,0,1,0.772873789,1,0.182102163,-14.65981971,0,0,0,0,0.010451225,0,0,0,0,7536,0,2004,6,0,0,0,0,0.684136191
8,0,0,0,2153.428286,0,0,0,-10.98493833,0,0,0,0,0,0,0,0,0.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.5485716,0,0,0.32031437,0,0,0,0,0,0,0.814323771,0,0,0,0,0,0,0.021864294,0,0,0,0,0,0,0,0.760595906,0,0.182635,-16.03801,0,0,0,0,0.025476219,0,0,0,0,-1,0,0,0,0,1,0,0,0
9,0,0,0,3803.412511,0,0,0,-28.05595773,0,0,0,0,3,0,0,0,0.512,0,0,0,0,2,0,0,0,0,0,0,0,0,1,4,0,0,268.2247771,0,0,0.489816269,0,0,0,0,0,0.328553015,0.539440959,0,0,0,0,2,0,0.056146217,0,0,0,0,0,0,0,0.644970709,0,0.580634058,-21.26203865,0,0,0,0,0.031016311,0,0,0,0,-1,0,0,0,0,0,0,0,0
10,0,0,0,5260.5017,0,1,0,-48.12702645,0,0,0,4,2,1,0,0,0.525461538,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,373.6289813,0,0,0.677420465,0,0,0,0,0,0.378254686,0.654667912,0,0,0,0,0,0,0.037586027,0,5,1,2,0,0,0,0.703858769,1,0.220542149,-19.47174711,0,0,1,0,0.015625368,0,0,0,0,34776,0,0,0,0,0,0,0,0.313562114
11,0,0,0,4220.030265,0,1,0,46.06258281,0,0,0,0,0,0,0,0,0.641125,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,265.6322529,0,0,0.6090637,0,0,0,0,0,0.363651365,0.649739114,0,0,0,0,0,0,0.071285808,0,0,1,0,0,1,0,0.65686564,0,0.445089063,-12.4506,0,0,0,1,0.034708217,0,0,0,0,-1,0,0,4,0,0,0,0,0.375984302
12,0,0,1,9497.98567,0,0,2,-41.01353066,0,0,0,7,2,1,0,0,0.592625,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,378.652293,0,0,0.706827671,0,0,0,0,0,0.416173065,0.805762654,0,0,0,0,1,0,0.006785436,0,3,0,1,0,0,1,0.79339287,0,0.403187291,-23.56517726,0,0,0,0,0.006461319,0,0,0,0,43725,0,1972,0,0,0,0,0,0.413739836
13,0,0,0,19240.48387,0,1,0,29.72155272,0,0,0,1,1,1,1,0,0.609666667,0,0,0,1,1,0,0,0,0,0,1,1,0,2,8,0,0,247.0524365,0,0,0.560557984,0,0,0,1,0,0.452789477,0.745753268,0,0,0,0,1,0,0.010925313,0,3,0,1,0,0,1,0.768486241,4,0.517249201,-25.67133163,0,0,0,0,0.010774739,0,0,0,0,-1,0,0,0,0,0,0,0,0.377531645
14,0,0,0,1254.5687,0,0,1,-68.39882156,0,0,0,0,0,1,0,0,0.6318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.0119737,0,0,0.597541218,0,0,0,0,0,0.382651971,0.56576372,0,0,0,0,0,0,0.032733638,0,0,0,0,0,0,0,0.729241307,0,0.129460967,-26.7595539,0,0,1,0,0.014084134,0,0,0,0,-1,0,0,0,0,0,0,0,0.394394856
15,0,0,0,16841.55698,0,2,0,-71.96013996,0,0,0,11,0,1,0,0,0.482470588,0,0,0,0,1,0,0,0,0,0,1,1,0,1,4,0,0,401.6817415,0,0,0.495445922,0,0,0,1,0,0.294861262,0.55170471,0,0,0,0,0,0,0.055511849,0,1,0,1,0,1,1,0.660571648,0,0.151752413,-35.39670801,0,0,1,0,0.023529859,0,0,0,0,-1,0,0,0,0,0,0,0,0
16,0,0,0,3235.361054,0,1,0,-7.96573638,0,0,0,0,0,1,0,0,0.452625,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,143.0187616,1,0,0.527865076,0,0,0,0,0,0.393121934,0.596625807,0,0,0,0,0,0,0.054547167,0,0,5,0,0,0,1,0.674649631,0,0.348413005,-13.02695255,0,0,0,0,0.026074931,0,0,0,0,-1,0,2007,4,0,0,0,0,0.450992312
17,0,0,0,4125.190926,0,0,0,8.770217503,0,0,0,2,1,0,0,0,0.5786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355.8621145,0,0,0.482356043,0,0,0,0,0,0.350078579,0.593149519,0,0,0,0,0,0,0.066350633,0,0,0,2,0,0,0,0.661330522,0,0.193728443,-24.10325354,0,0,0,0,0.033083231,0,0,0,0,-1,0,0,0,0,0,0,0,0
18,0,0,0,2454.325978,0,3,0,-18.7435761,0,0,0,0,0,1,2,0,0.661166667,0,0,0,1,0,0,0,0,0,0,1,1,0,3,3,0,0,975.0627337,0,0,0.665322162,1,0,0,1,0,0.394217199,0.744389196,0,0,0,0,1,0,0.023970851,0,3,0,0,0,0,1,0.814293454,0,0.58508478,-30.06001839,0,1,0,0,0.01498337,0,0,0,0,-1,0,2006,0,0,1,0,0,0.785892288
