,ar8c10w1187b9a7fd3,ardh00c1187b999457,arlmmzu11f4c840fe8,love,ar5wu281187fb49c5f,heavy,segmentsLoudnessMaxStart_mean,el,artmszo1187b98f20e,pop,artistTermsWeight_mean,arv6fhx1187b98e981,drum,argql451187b9af4ff,segmentsPitches_mean_2,arh6w4x1187b99274f,ambient,progressive,metal,arpisa41187fb3de42,swing,indie,segmentsPitches_var_10,arsm2yu1187b99d602,ar43vrg1187b98cb01,ars8vy21187b990549,chinese,year,classic,garde,uk,artistTermsFreq_mean,thrash,artistFamiliarity,sectionsConfidence_mean,ar8ksrb1187fb3d73b,ar0e39c1187fb51c58,punk,folk,death,ar2o3b51187b98cd94,arfamuk1187fb53f2e,grunge,hop,ard2lkr1187b9904b7,arorx9k1187fb3dc3f,electronica,aggressive,crossover,arf53zn1187b9b5300,artihcd1187fb4fc8d,artft6p1187fb4acbe,artistHotness,arjql8p1187b9afdbd,arnloio11f4c841019,guitar,areaex91187b98dc01,arc28sn1187b989049,segmentsPitches_var_9,arsk5c61187fb3d9e9,segmentsTimbre_mean_12,arzvef91187b9ac770,artistTermsWeight_var,armo54h1187fb52a77,arp06gy1187b98b0f0,arh5ane1187b98e894,armi8bw1187fb57b2e,artistPlayMeID,hard,arg274e1187fb4bca8,rock,experimental,ar2xdis1187b997bf3,artistTermsFreq_var,melodic,arnnq9e1187fb3c82f,alternative,jamaican,80s,arkyi5t1187b99334f,Hit_Flop_Class
0,0,0,0,0,0,0,0.613964288,0,0,0,0.500929621,0,0,0,0.529991821,0,0,0,0,0,0,0.166666667,0.362029449,0,0,0,0,0,0,0,0,0.563869117,0,0.587706938,0.325725338,0,0,0.071428571,0,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0.438836446,0,0,0,0,0,0.250082001,0,0.309509394,0,0.113283251,0,0,0,0,0.018438794,0,0,0.157894737,0,0,0.066001824,0,0,0.285714286,0,0,0,0.60211999
1,0,0,0,0,0,0,0.879693121,0,0,0.363636364,0.737025634,0,0,0,0.558324918,0,0,0,0.115384615,0,0,0.166666667,0.090397933,0,0,0,0,0.998507463,0.333333333,0,0,0.748447658,0,0.657662688,0.501396948,0,0,0.357142857,0,0.166666667,0,0,0.25,0.125,0,0,0,0,0.5,0,0,0,0.438537493,0,0,0,0,0,0.045341297,0,0.261612047,0,0.060378636,0,0,0,0,0.034391643,0.2,0,0.263157895,0.333333333,0,0.035247126,0,0,0.428571429,0,0,0,0.604500739
2,0,0,0,0,0,0,0.66784229,0,0,0,0.619228262,0,0,0,0.508174432,0,0,0.4,0,0,0,0,0.133133706,0,0,0,0,0.987064677,0,0,0,0.630218086,0,0.431004377,0.245862885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362725371,0,0,0.2,0,0,0.064968955,0,0.498098669,0,0.191355461,0,0,0,0,0,0.2,0,0.368421053,0,0,0.14919645,0.25,0,0.142857143,0,0.25,0,0.265861049
3,0,0,0,0,0,0,0.775524955,0,0,0.181818182,0.188041108,0,0,0,0.590879692,0,0.166666667,0,0,0,0,0.333333333,0.10719896,0,0,0,0,0,0.333333333,0,0,0.285098348,0,0.363690412,0.520825274,0,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323418929,0,0,0.2,0,0,0.108704427,0,0.221893831,0,0.305534418,0,0,0,0,0,0,0,0.421052632,0,0,0.17580254,0,0,0.428571429,0,0,0,0
4,0,0,0,0,0,0,0.728400936,0,0,0.090909091,0.481711896,0,0,0,0.481050175,0,0,0,0,0,0,0,0.259305568,0,0,0,0,0,0,0,0,0.598687403,0,0.583378597,0.498495594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414257773,0,0,0,0,0,0.185377948,0,0.418699642,0,0.362908989,0,0,0,0,0.058872435,0,0,0,0,0,0.190783877,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0.720502056,0,0,0.181818182,0.583227497,0,0,0,0.583027392,0,0,0,0,0,0,0,0.266321565,0,0,0,0,0,0,0,0,0.700450653,0,0.086381165,0.407018513,0,0,0,0.1,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0.275023893,0,0,0,0,0,0.10950261,0,0.266193233,0,0.199281013,0,0,0,0,0,0,0,0.210526316,0,0,0.145746866,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0.501452645,0,1,0.090909091,0.613879969,0,0,0,0.482342446,0,0.166666667,0,0,0,0,0,0.202784973,0,0,0,0,0,0,0,0,0.629326347,0,0.424211321,0.496453901,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0.361121327,0,0,0,0,0,0.082524973,0,0.184740125,0,0.127910902,0,0,0,0,0.074644189,0,0,0.052631579,0,0,0.100488125,0.25,0,0.142857143,0,0,0,0.334706549
7,0,0,0,0,0,0.333333333,0.824570827,0,0,0.272727273,0.644008766,0,0,0,0.594213053,0,0,0.2,0.230769231,0,0,0,0.116183868,0,0,0,0,0.997014925,0.333333333,0,0,0.707925649,0,0.714387524,0.555217832,0,0,0,0,0,0,0,0.25,0.125,0,1,0,0,0,0,0,0,0.560516872,0,0,0.2,0,0,0.057546411,0,0.159342,0,0.081267734,0,0,0,0,0.031020801,0.2,0,0.578947368,0,0,0.030332904,0,0,0.285714286,0,0.25,0,0.684136191
8,0,0,0,0,0,0,0.7942285,0,0,0,0.624764757,0,0,0,0.468017052,0,0,0,0,0,0,0,0.145547184,0,0,0,0,0,0,0,0,0.814323771,0,0.323569946,0.615731786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045561915,0,0.159905199,0,0.198100662,0,0,0,0,0,0,0,0,0.333333333,0,0.059969812,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0.679215947,0,0,0,0.443537076,0,0,0,0.428315105,0,0,0,0,0,0,0,0.15458974,0,0,0,0,0,0,0,0,0.539440959,0,0.49479461,0.370728562,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358661489,0,0,0.4,0,0,0.168664411,0,0.580582956,0,0.241179892,0,0,0,0,0,0,0,0.210526316,0,0,0.15399894,0,0,0.142857143,0,0,0,0
